Title,Link,Authors,Conference,Year
Spectroscopy of the first resolved strongly lensed Type Ia supernova iPTF16geu,/document/9479980/,"J Johansson;
A Goobar;
S H Price;
A Sagués Carracedo;
L Della Bruna;
P E Nugent;
S Dhawan;
E Mörtsell;
S Papadogiannakis;
R Amanullah;
D Goldstein;
S B Cenko;
K De;
A Dugas;
M M Kasliwal;
S R Kulkarni;
R Lunnan",Monthly Notices of the Royal Astronomical Society,Year: 2021
Berkeley Supernova Ia Program – III. Spectra near maximum brightness improve the accuracy of derived distances to Type Ia supernovae,/document/8175632/,"Jeffrey M. Silverman;
Mohan Ganeshalingam;
Weidong Li;
Alexei V. Filippenko",Monthly Notices of the Royal Astronomical Society,Year: 2012
The structure of steady detonation waves in Type Ia supernovae: pathological detonations in C—O cores,/document/8209893/,Gary J. Sharpe,Monthly Notices of the Royal Astronomical Society,Year: 1999
Consideration of motor contribution in series ratings,/document/530433/,"G.D. Gregory;
E. Curd",IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
An early-time infrared and optical study of the Type Ia Supernova 1998bu in M96,/document/8209927/,"M. Hernandez;
W. P. S. Meikle;
A. Aparicio;
C. R. Benn;
M. R. Burleigh;
A. C. Chrysostomou;
A. J. L. Fernandes;
T. R. Geballe;
P. L. Hammersley;
J. Iglesias-Paramo;
D. J. James;
P. A. James;
S. N. Kemp;
T. A. Lister;
D. Martinez-Delgado;
A. Oscoz;
D. L. Pollacco;
M. Rozas;
S. J. Smartt;
P. Sorensen;
R. A. Swaters;
J. H. Telting;
W. D. Vacca;
N. A. Walton;
M. R. Zapatero-Osorio",Monthly Notices of the Royal Astronomical Society,Year: 2000
5.9-keV Mn K-shell X-ray luminosity from the decay of 55Fe in Type Ia supernova models,/document/8181111/,"I. R. Seitenzahl;
A. Summa;
F. Krauß;
S. A. Sim;
R. Diehl;
D. Elsässer;
M. Fink;
W. Hillebrandt;
M. Kromer;
 K. Maeda;
 K. Mannheim;
R. Pakmor;
F. K. Röpke;
A. J. Ruiter;
J. Wilms",Monthly Notices of the Royal Astronomical Society,Year: 2014
Neutrino Emission from Type Ia Supernovae,/document/8201819/,"Takashi Kunugise;
Koichi Iwamoto",Publications of the Astronomical Society of Japan,Year: 2007
Survey requirements for accurate and precise photometric redshifts for Type Ia supernovae,/document/8222615/,"Yun Wang;
Gautham Narayan;
Michael Wood-Vasey",Monthly Notices of the Royal Astronomical Society,Year: 2007
Type Ia supernova remnants: shaping by iron bullets,/document/8200677/,"Danny Tsebrenko;
Noam Soker",Monthly Notices of the Royal Astronomical Society,Year: 2015
Initial flash and spectral formation of Type Ia supernovae with an envelope: applications to overluminous SNe Ia,/document/10078136/,"Keiichi Maeda;
Ji-an Jiang;
Mamoru Doi;
Miho Kawabata;
Toshikazu Shigeyama",Monthly Notices of the Royal Astronomical Society,Year: 2022
Peculiar-velocity cosmology with Types Ia and II supernovae,/document/9491235/,"Benjamin E Stahl;
Thomas de Jaeger;
Supranta S Boruah;
WeiKang Zheng;
Alexei V Filippenko;
Michael J Hudson",Monthly Notices of the Royal Astronomical Society,Year: 2021
Diversity in extinction laws of Type Ia supernovae measured between 0.2 and 2 μm,/document/8196988/,"R. Amanullah;
J. Johansson;
A. Goobar;
R. Ferretti;
S. Papadogiannakis;
T. Petrushevska;
P. J. Brown;
Y. Cao;
C. Contreras;
H. Dahle;
N. Elias-Rosa;
J. P. U. Fynbo;
J. Gorosabel;
L. Guaita;
L. Hangard;
D. A. Howell;
E. Y. Hsiao;
E. Kankare;
M. Kasliwal;
G. Leloudas;
P. Lundqvist;
S. Mattila;
P. Nugent;
M. M. Phillips;
A. Sandberg;
V. Stanishev;
M. Sullivan;
F. Taddia;
G. Östlin;
S. Asadi;
R. Herrero-Illana;
J. J. Jensen;
K. Karhunen;
S. Lazarevic;
E. Varenius;
P. Santos;
S. Seethapuram Sridhar;
S. H. J. Wallström;
J. Wiegert",Monthly Notices of the Royal Astronomical Society,Year: 2015
Intrinsic color diversity of nearby Type Ia supernovae,/document/9426480/,"Noriaki Arima;
Mamoru Doi;
Tomoki Morokuma;
Naohiro Takanashi",Publications of the Astronomical Society of Japan,Year: 2021
Cosmological parameter estimation from SN Ia data: a model-independent approach,/document/8182865/,"S. Benitez-Herrera;
E. E. O. Ishida;
M. Maturi;
W. Hillebrandt;
M. Bartelmann;
F. Röpke",Monthly Notices of the Royal Astronomical Society,Year: 2013
Ultraviolet diversity of Type Ia Supernovae,/document/8151645/,"Ryan J. Foley;
Yen-Chen Pan;
P. Brown;
A. V. Filippenko;
O. D. Fox;
W. Hillebrandt;
R. P. Kirshner;
G. H. Marion;
P. A. Milne;
J. T. Parrent;
G. Pignata;
M. D. Stritzinger",Monthly Notices of the Royal Astronomical Society,Year: 2016
Type Ia supernova spectral features in the context of their host galaxy properties,/document/8185316/,"Y.-C. Pan;
M. Sullivan;
K. Maguire;
A. Gal-Yam;
I. M. Hook;
D. A. Howell;
P. E. Nugent;
P. A. Mazzali",Monthly Notices of the Royal Astronomical Society,Year: 2014
Properties of Type Ia supernovae inside rich galaxy clusters,/document/8184336/,"Henrique S. Xavier;
Ravi R. Gupta;
Masao Sako;
Chris B. D'Andrea;
Joshua A. Frieman;
Lluis Galbany;
Peter M. Garnavich;
John Marriner;
Robert C. Nichol;
Matthew D. Olmstead;
Donald P. Schneider;
Mathew Smith",Monthly Notices of the Royal Astronomical Society,Year: 2013
On the evolution of rotating accreting white dwarfs and Type Ia supernovae,/document/8196509/,"B. Wang;
S. Justham;
Z.-W. Liu;
J.-J. Zhang;
D.-D. Liu;
Z. Han",Monthly Notices of the Royal Astronomical Society,Year: 2014
